JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2459363.0990966,252.8502,0.4609,10.3929,0.0020,15.4935,2.06,g,G,bB
2459364.1071555,281.4856,0.4536,10.2764,0.0018,15.5109,2.03,g,G,bB
2459365.1037619,297.9494,0.3380,10.2147,0.0012,15.8305,2.01,g,G,bB
2459366.0963244,312.6356,0.3066,10.1625,0.0011,15.9361,2.05,g,G,bB
2459367.1119951,327.9127,0.3898,10.1107,0.0013,15.6755,2.02,g,G,bB
2459368.0933882,330.4986,0.2615,10.1021,0.0009,16.1090,2.20,g,G,bB
2459369.0935341,308.9200,0.2903,10.1755,0.0010,15.9955,2.05,g,G,bB
2459370.1064418,319.1138,0.2772,10.1402,0.0009,16.0455,2.30,g,G,bB
2459371.078822,286.7045,0.3141,10.2565,0.0012,15.9100,2.06,g,G,bB
2459372.0905832,331.2645,0.2064,10.0996,0.0007,16.3660,2.11,g,G,bB
2459372.9273617,242.1623,0.6026,10.4398,0.0027,15.2025,1.50,g,G,br
2459374.0797932,328.0650,0.2112,10.1102,0.0007,16.3410,2.02,g,G,bB
2459375.079987,294.7967,0.2861,10.2263,0.0011,16.0114,2.04,g,G,bB
2459379.0926172,353.4465,0.2055,10.0293,0.0006,16.3706,2.21,g,G,bB
2459384.0493062,320.1930,0.2424,10.1365,0.0008,16.1911,2.01,g,G,bB
2459385.0529379,295.3726,0.2836,10.2241,0.0010,16.0208,2.09,g,G,bB
2459385.9161207,358.7523,0.3829,10.0131,0.0012,15.6950,1.50,g,G,br
2459386.1053915,344.2004,0.1908,10.0580,0.0006,16.4510,2.01,g,G,bB
2459387.0353337,318.3447,0.2611,10.1428,0.0009,16.1108,2.08,g,G,bB
2459389.0505027,307.3486,0.3722,10.1810,0.0013,15.7258,2.03,g,G,bB
2459389.0517763,292.7118,0.3794,10.2340,0.0014,15.7049,2.04,g,G,bB
2459392.031866,307.8696,0.3723,10.1791,0.0013,15.7253,2.05,g,G,bB
2459393.0985481,352.0819,0.3090,10.0335,0.0010,15.9277,2.00,g,G,bB
2459395.0254285,330.3017,0.3102,10.1028,0.0010,15.9237,2.00,g,G,bB
2459396.0581357,365.7223,0.2492,9.9922,0.0007,16.1612,2.02,g,G,bB
2459399.0365279,346.7589,0.1701,10.0500,0.0005,16.5761,2.04,g,G,bB
2459401.0426497,338.1767,0.1862,10.0772,0.0006,16.4774,2.33,g,G,bB
2459401.887867,394.9118,0.5864,9.9088,0.0016,15.2322,1.48,g,G,br
2459403.9964189,318.3003,0.2645,10.1430,0.0009,16.0966,2.08,g,G,bB
2459405.0002947,318.6558,0.2393,10.1418,0.0008,16.2052,2.00,g,G,bB
2459405.8401649,406.9543,0.4027,9.8762,0.0011,15.6402,1.44,g,G,br
2459408.0591209,256.2516,0.5188,10.3784,0.0022,15.3651,2.05,g,B,bB
2459408.9805356,326.4251,0.2441,10.1156,0.0008,16.1837,2.00,g,G,bB
2459410.8346937,257.1630,0.6057,10.3745,0.0026,15.1970,1.47,g,G,br
2459411.8221933,207.8375,0.6695,10.6058,0.0035,15.0883,1.39,g,B,br
2459411.9813436,322.8329,0.2302,10.1276,0.0008,16.2475,2.02,g,G,bB
2459412.8216738,-291.9920,1.7174,14.0655,99.9990,14.0655,1.47,g,B,br
2459412.9794023,327.8020,0.2174,10.1110,0.0007,16.3095,2.01,g,G,bB
2459414.9658813,320.3246,0.2455,10.1361,0.0008,16.1777,2.14,g,G,bB
2459416.8402569,-52.2139,1.1536,14.4975,99.9990,14.4975,1.48,g,G,br
2459418.8222722,119.1335,0.8692,11.2100,0.0079,14.8049,1.72,g,B,br
2459421.8168597,322.3220,0.5258,10.1293,0.0018,15.3506,1.65,g,B,br
2459422.0364151,380.1012,0.3484,9.9503,0.0010,15.7973,2.04,g,G,bB
2459422.796401,367.8159,0.3730,9.9860,0.0011,15.7234,1.60,g,B,br
2459423.7915975,341.0029,0.4910,10.0682,0.0016,15.4249,1.44,g,G,br
2459424.7943556,355.0252,0.4154,10.0244,0.0013,15.6065,1.68,g,G,br
2459425.7935648,374.5086,0.4181,9.9664,0.0012,15.5995,1.42,g,G,br
2459427.0460511,378.3440,0.1772,9.9553,0.0005,16.5315,2.04,g,G,bB
2459427.7983567,403.2357,0.3002,9.8862,0.0008,15.9591,1.42,g,G,br
